"file","date","time","datetime","direction","antenna","tag","tag_short","year"
"05_26_14.TXT",2014-03-14,"10:29:24.53",2014-03-14 10:29:24.52,"direction unknown","A1","0000_0000000178695688","178695688","2014"
"04_25_14.TXT",2014-04-02,"10:29:08.30",2014-04-02 10:29:08.29,"direction unknown","A4","0000_0000000181177649","181177649","2014"
"04_25_14.TXT",2014-04-02,"10:29:15.46",2014-04-02 10:29:15.46,"direction unknown","A4","0000_0000000181177649","181177649","2014"
"04_25_14.TXT",2014-04-02,"10:29:15.63",2014-04-02 10:29:15.63,"direction unknown","A4","0000_0000000181177649","181177649","2014"
"04_25_14.TXT",2014-04-02,"10:29:24.34",2014-04-02 10:29:24.33,"direction unknown","A1","0000_0000000181177649","181177649","2014"
"04_25_14.TXT",2014-04-02,"10:29:24.51",2014-04-02 10:29:24.50,"direction unknown","A1","0000_0000000181177649","181177649","2014"
"04_25_14.TXT",2014-04-02,"10:29:24.94",2014-04-02 10:29:24.94,"direction unknown","A1","0000_0000000181177649","181177649","2014"
"04_08_14.TXT",2014-04-04,"19:10:29.95",2014-04-04 19:10:29.95,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:10:30.06",2014-04-04 19:10:30.05,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:10:30.38",2014-04-04 19:10:30.38,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:10:30.71",2014-04-04 19:10:30.71,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:10:31.14",2014-04-04 19:10:31.13,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:10:31.47",2014-04-04 19:10:31.47,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:10:31.81",2014-04-04 19:10:31.80,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:10:32.00",2014-04-04 19:10:32.00,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:10:32.24",2014-04-04 19:10:32.24,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:10:32.48",2014-04-04 19:10:32.48,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:10:32.57",2014-04-04 19:10:32.56,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:10:32.89",2014-04-04 19:10:32.88,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:10:34.42",2014-04-04 19:10:34.42,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:10:34.75",2014-04-04 19:10:34.75,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:11:54.04",2014-04-04 19:11:54.03,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:11:54.69",2014-04-04 19:11:54.69,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:11:55.21",2014-04-04 19:11:55.21,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:11:55.30",2014-04-04 19:11:55.29,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:11:55.45",2014-04-04 19:11:55.45,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:11:55.54",2014-04-04 19:11:55.53,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:11:55.79",2014-04-04 19:11:55.78,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:11:55.96",2014-04-04 19:11:55.96,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:11:57.06",2014-04-04 19:11:57.05,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:11:57.72",2014-04-04 19:11:57.72,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:09.25",2014-04-04 19:12:09.25,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:09.32",2014-04-04 19:12:09.31,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:09.49",2014-04-04 19:12:09.49,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:09.58",2014-04-04 19:12:09.57,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:09.82",2014-04-04 19:12:09.81,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:09.92",2014-04-04 19:12:09.92,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:18.24",2014-04-04 19:12:18.24,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:18.89",2014-04-04 19:12:18.88,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:20.32",2014-04-04 19:12:20.31,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:20.66",2014-04-04 19:12:20.66,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:20.74",2014-04-04 19:12:20.74,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:20.99",2014-04-04 19:12:20.99,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:35.04",2014-04-04 19:12:35.03,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:35.63",2014-04-04 19:12:35.63,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:36.22",2014-04-04 19:12:36.22,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:36.46",2014-04-04 19:12:36.46,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:36.56",2014-04-04 19:12:36.55,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:36.79",2014-04-04 19:12:36.78,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:36.97",2014-04-04 19:12:36.97,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:38.32",2014-04-04 19:12:38.31,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:49.41",2014-04-04 19:12:49.41,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:49.82",2014-04-04 19:12:49.81,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:50.00",2014-04-04 19:12:50.00,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:50.25",2014-04-04 19:12:50.25,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:50.33",2014-04-04 19:12:50.32,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:50.58",2014-04-04 19:12:50.57,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:50.75",2014-04-04 19:12:50.75,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:12:52.18",2014-04-04 19:12:52.18,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:00.00",2014-04-04 19:14:00.00,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:00.65",2014-04-04 19:14:00.65,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:01.42",2014-04-04 19:14:01.42,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:01.75",2014-04-04 19:14:01.75,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:02.17",2014-04-04 19:14:02.17,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:02.50",2014-04-04 19:14:02.50,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:10.07",2014-04-04 19:14:10.06,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:10.17",2014-04-04 19:14:10.17,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:10.41",2014-04-04 19:14:10.41,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:10.82",2014-04-04 19:14:10.81,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:11.58",2014-04-04 19:14:11.57,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:19.15",2014-04-04 19:14:19.15,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:19.24",2014-04-04 19:14:19.24,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:19.48",2014-04-04 19:14:19.48,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:19.90",2014-04-04 19:14:19.90,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:28.15",2014-04-04 19:14:28.15,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:28.22",2014-04-04 19:14:28.22,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:28.39",2014-04-04 19:14:28.38,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:28.48",2014-04-04 19:14:28.48,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:28.72",2014-04-04 19:14:28.72,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:28.90",2014-04-04 19:14:28.90,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:40.98",2014-04-04 19:14:40.98,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:41.09",2014-04-04 19:14:41.08,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:41.33",2014-04-04 19:14:41.32,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:41.75",2014-04-04 19:14:41.75,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:42.51",2014-04-04 19:14:42.50,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:14:42.92",2014-04-04 19:14:42.92,"direction unknown","A4","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:43:31.14",2014-04-04 19:43:31.13,"direction unknown","A1","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:43:35.74",2014-04-04 19:43:35.74,"direction unknown","A1","0000_0000000181177650","181177650","2014"
"04_08_14.TXT",2014-04-04,"19:43:42.82",2014-04-04 19:43:42.81,"direction unknown","A1","0000_0000000181177650","181177650","2014"
